name,chg,country,currencyCode,period,high,chgpcnt,low,time,prev,iyield
China 15Y,-0.037,China,China,15Y,3.625,-1.02,3.593,3:13:13,3.630,3.593
China 20Y,-0.040,China,China,20Y,3.780,-1.06,3.745,3:13:18,3.785,3.745
China 30Y,-0.042,China,China,30Y,3.930,-1.07,3.900,3:13:05,3.942,3.900
Colombia 1Y,-0.031,Colombia,Colombia,1Y,5.156,-0.60,5.070,0:45:04,5.141,5.110
Colombia 4Y,-0.063,Colombia,Colombia,4Y,6.182,-1.03,6.057,0:45:03,6.140,6.077
Colombia 5Y,-0.005,Colombia,Colombia,5Y,6.506,-0.08,6.400,0:45:04,6.445,6.445
Colombia 10Y,-0.100,Colombia,Colombia,10Y,7.710,-1.29,7.628,0:45:04,7.760,7.660
Colombia 15Y,-0.010,Colombia,Colombia,15Y,8.469,0.00,8.369,0:45:04,8.440,8.440
Croatia 6M,0.140,Croatia,Croatia,6M,1.010,16.09,1.010,27/08,1.010,1.010
Croatia 9M,0.100,Croatia,Croatia,9M,1.130,9.71,1.130,27/08,1.130,1.130
Croatia 1Y,0.020,Croatia,Croatia,1Y,1.270,1.60,1.270,27/08,1.270,1.270
Croatia 3Y,0.063,Croatia,Croatia,3Y,2.781,2.34,2.731,27/08,2.692,2.755
Croatia 5Y,-0.005,Croatia,Croatia,5Y,3.200,-0.16,3.076,27/08,3.205,3.200
Croatia 10Y,0.000,Croatia,Croatia,10Y,4.155,0.00,4.155,27/08,4.155,4.155
Czech Republic 3M,-0.020,Czech Republic,Czech Republic,3M,0.050,-28.57,0.050,27/08,0.050,0.050
Czech Republic 6M,-0.081,Czech Republic,Czech Republic,6M,0.050,-114.08,-0.010,3:01:08,-0.010,-0.010
Czech Republic 1Y,-0.061,Czech Republic,Czech Republic,1Y,0.050,-75.31,0.020,3:01:08,0.020,0.020
Czech Republic 2Y,-0.014,Czech Republic,Czech Republic,2Y,-0.172,-8.18,-0.202,27/08,-0.159,-0.172
Czech Republic 3Y,-0.002,Czech Republic,Czech Republic,3Y,0.061,-4.55,0.021,27/08,0.022,0.021
