time,closeAsk,closeBid,volume,BNP.USDCNH - USD/CNH_x
2015-08-04T22:39:00.000000Z,6.22265625,6.22265625,5.0,6.22265625
2015-08-04T22:40:00.000000Z,6.22265625,6.21875,23.0,6.220703125
2015-08-04T22:41:00.000000Z,6.22265625,6.22265625,17.0,6.22265625
2015-08-04T22:42:00.000000Z,6.22265625,6.22265625,1.0,6.22265625
2015-08-04T22:43:00.000000Z,6.22265625,6.22265625,50.0,6.22265625
2015-08-04T22:44:00.000000Z,6.22265625,6.22265625,14.0,6.22265625
2015-08-04T22:45:00.000000Z,6.22265625,6.22265625,5.0,6.22265625
2015-08-04T22:48:00.000000Z,6.22265625,6.22265625,8.0,6.22265625
2015-08-04T22:49:00.000000Z,6.22265625,6.22265625,17.0,6.22265625
2015-08-04T22:50:00.000000Z,6.22265625,6.22265625,76.0,6.22265625
2015-08-04T22:51:00.000000Z,6.22265625,6.22265625,128.0,6.22265625
2015-08-04T22:52:00.000000Z,6.22265625,6.22265625,3.0,6.22265625
2015-08-04T22:53:00.000000Z,6.22265625,6.22265625,36.0,6.22265625
2015-08-04T22:55:00.000000Z,6.22265625,6.22265625,2.0,6.22265625
2015-08-04T22:56:00.000000Z,6.22265625,6.22265625,5.0,6.22265625
2015-08-04T22:57:00.000000Z,6.22265625,6.22265625,8.0,6.22265625
2015-08-04T22:59:00.000000Z,6.22265625,6.22265625,6.0,6.22265625
2015-08-04T23:00:00.000000Z,6.22265625,6.22265625,14.0,6.22265625
2015-08-04T23:02:00.000000Z,6.22265625,6.22265625,68.0,6.22265625
2015-08-04T23:03:00.000000Z,6.22265625,6.22265625,19.0,6.22265625
2015-08-04T23:04:00.000000Z,6.22265625,6.22265625,35.0,6.22265625
2015-08-04T23:06:00.000000Z,6.22265625,6.22265625,7.0,6.22265625
2015-08-04T23:07:00.000000Z,6.22265625,6.22265625,26.0,6.22265625
2015-08-04T23:08:00.000000Z,6.22265625,6.22265625,13.0,6.22265625
2015-08-04T23:10:00.000000Z,6.22265625,6.22265625,2.0,6.22265625
2015-08-04T23:12:00.000000Z,6.22265625,6.22265625,85.0,6.22265625
2015-08-04T23:13:00.000000Z,6.22265625,6.22265625,33.0,6.22265625
2015-08-04T23:14:00.000000Z,6.22265625,6.22265625,2.0,6.22265625
2015-08-04T23:15:00.000000Z,6.22265625,6.22265625,19.0,6.22265625
2015-08-04T23:16:00.000000Z,6.22265625,6.22265625,53.0,6.22265625
2015-08-04T23:17:00.000000Z,6.22265625,6.22265625,2.0,6.22265625
2015-08-04T23:19:00.000000Z,6.22265625,6.22265625,3.0,6.22265625
2015-08-04T23:20:00.000000Z,6.22265625,6.22265625,2.0,6.22265625
2015-08-04T23:21:00.000000Z,6.22265625,6.22265625,18.0,6.22265625
2015-08-04T23:22:00.000000Z,6.22265625,6.22265625,9.0,6.22265625
2015-08-04T23:23:00.000000Z,6.22265625,6.22265625,6.0,6.22265625
2015-08-04T23:24:00.000000Z,6.22265625,6.22265625,14.0,6.22265625
2015-08-04T23:25:00.000000Z,6.22265625,6.22265625,65.0,6.22265625
2015-08-04T23:26:00.000000Z,6.22265625,6.22265625,64.0,6.22265625
2015-08-04T23:27:00.000000Z,6.22265625,6.22265625,47.0,6.22265625
2015-08-04T23:28:00.000000Z,6.22265625,6.22265625,37.0,6.22265625
2015-08-04T23:29:00.000000Z,6.22265625,6.22265625,48.0,6.22265625
2015-08-04T23:30:00.000000Z,6.22265625,6.22265625,23.0,6.22265625
2015-08-04T23:31:00.000000Z,6.22265625,6.21875,29.0,6.220703125
2015-08-04T23:32:00.000000Z,6.22265625,6.22265625,22.0,6.22265625
2015-08-04T23:33:00.000000Z,6.22265625,6.22265625,5.0,6.22265625
2015-08-04T23:34:00.000000Z,6.22265625,6.22265625,6.0,6.22265625
2015-08-04T23:35:00.000000Z,6.22265625,6.22265625,4.0,6.22265625
2015-08-04T23:36:00.000000Z,6.22265625,6.22265625,1.0,6.22265625
2015-08-04T23:37:00.000000Z,6.22265625,6.21875,18.0,6.220703125
2015-08-04T23:38:00.000000Z,6.22265625,6.21875,85.0,6.220703125
2015-08-04T23:39:00.000000Z,6.22265625,6.21875,122.0,6.220703125
2015-08-04T23:40:00.000000Z,6.22265625,6.21875,57.0,6.220703125
2015-08-04T23:41:00.000000Z,6.22265625,6.21875,263.0,6.220703125
2015-08-04T23:42:00.000000Z,6.22265625,6.21875,154.0,6.220703125
2015-08-04T23:43:00.000000Z,6.22265625,6.21875,333.0,6.220703125
2015-08-04T23:44:00.000000Z,6.21875,6.21875,314.0,6.21875
2015-08-04T23:45:00.000000Z,6.22265625,6.21875,185.0,6.220703125
2015-08-04T23:46:00.000000Z,6.22265625,6.21875,141.0,6.220703125
2015-08-04T23:47:00.000000Z,6.22265625,6.21875,13.0,6.220703125
2015-08-04T23:48:00.000000Z,6.22265625,6.21875,16.0,6.220703125
2015-08-04T23:50:00.000000Z,6.22265625,6.21875,3.0,6.220703125
2015-08-04T23:51:00.000000Z,6.22265625,6.21875,9.0,6.220703125
2015-08-04T23:52:00.000000Z,6.22265625,6.21875,5.0,6.220703125
2015-08-04T23:53:00.000000Z,6.22265625,6.21875,5.0,6.220703125
2015-08-04T23:54:00.000000Z,6.22265625,6.21875,5.0,6.220703125
2015-08-04T23:55:00.000000Z,6.22265625,6.21875,31.0,6.220703125
2015-08-04T23:56:00.000000Z,6.22265625,6.21875,9.0,6.220703125
2015-08-04T23:57:00.000000Z,6.22265625,6.21875,35.0,6.220703125
2015-08-04T23:58:00.000000Z,6.22265625,6.21875,40.0,6.220703125
2015-08-04T23:59:00.000000Z,6.22265625,6.21875,5.0,6.220703125
2015-08-05T00:00:00.000000Z,6.22265625,6.21875,3.0,6.220703125
2015-08-05T00:01:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-05T00:02:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-05T00:03:00.000000Z,6.22265625,6.21875,19.0,6.220703125
2015-08-05T00:04:00.000000Z,6.22265625,6.21875,12.0,6.220703125
2015-08-05T00:06:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-05T00:08:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-05T00:09:00.000000Z,6.22265625,6.21875,3.0,6.220703125
2015-08-05T00:10:00.000000Z,6.22265625,6.21875,26.0,6.220703125
2015-08-05T00:11:00.000000Z,6.22265625,6.22265625,72.0,6.22265625
2015-08-05T00:12:00.000000Z,6.22265625,6.22265625,100.0,6.22265625
2015-08-05T00:13:00.000000Z,6.22265625,6.22265625,24.0,6.22265625
2015-08-05T00:14:00.000000Z,6.22265625,6.21875,7.0,6.220703125
2015-08-05T00:15:00.000000Z,6.22265625,6.21875,17.0,6.220703125
2015-08-05T00:16:00.000000Z,6.22265625,6.21875,3.0,6.220703125
2015-08-05T00:17:00.000000Z,6.22265625,6.21875,7.0,6.220703125
2015-08-05T00:19:00.000000Z,6.22265625,6.21875,3.0,6.220703125
2015-08-05T00:20:00.000000Z,6.22265625,6.21875,21.0,6.220703125
2015-08-05T00:21:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-05T00:22:00.000000Z,6.22265625,6.21875,87.0,6.220703125
2015-08-05T00:23:00.000000Z,6.22265625,6.21875,10.0,6.220703125
2015-08-05T00:24:00.000000Z,6.21875,6.21875,37.0,6.21875
2015-08-05T00:25:00.000000Z,6.21875,6.21875,82.0,6.21875
2015-08-05T00:26:00.000000Z,6.21875,6.21875,28.0,6.21875
2015-08-05T00:27:00.000000Z,6.21875,6.21875,16.0,6.21875
2015-08-05T00:28:00.000000Z,6.21875,6.21875,11.0,6.21875
2015-08-05T00:29:00.000000Z,6.21875,6.21875,1.0,6.21875
2015-08-05T00:31:00.000000Z,6.21875,6.21875,15.0,6.21875
2015-08-05T00:32:00.000000Z,6.21875,6.21875,197.0,6.21875
2015-08-05T00:33:00.000000Z,6.21875,6.21875,13.0,6.21875
2015-08-05T00:34:00.000000Z,6.22265625,6.21875,64.0,6.220703125
2015-08-05T00:35:00.000000Z,6.22265625,6.21875,65.0,6.220703125
2015-08-05T00:36:00.000000Z,6.22265625,6.21875,507.0,6.220703125
2015-08-05T00:37:00.000000Z,6.22265625,6.21875,11.0,6.220703125
2015-08-05T00:38:00.000000Z,6.22265625,6.22265625,81.0,6.22265625
2015-08-05T00:39:00.000000Z,6.22265625,6.22265625,342.0,6.22265625
2015-08-05T00:40:00.000000Z,6.22265625,6.22265625,44.0,6.22265625
2015-08-05T00:41:00.000000Z,6.22265625,6.22265625,135.0,6.22265625
2015-08-05T00:42:00.000000Z,6.22265625,6.22265625,8.0,6.22265625
2015-08-05T00:43:00.000000Z,6.22265625,6.22265625,39.0,6.22265625
