==========
Sat Sep 19 20:15:01 EDT 2015
{'name': 'GBP/CHF', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'GBP/NZD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '604800', 'summary': 'SELL'}
{'name': 'XAU/USD', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'GBP/CHF', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'GBP/NZD', 'period': '1440', 'summary': 'BUY'}
{'name': 'XAU/USD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'GBP/AUD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'GBP/NZD', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'GBP/NZD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'GBP/NZD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'GBP/NZD', 'period': '5', 'summary': 'BUY'}
{'name': 'GBP/NZD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'GBP/CHF', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'GBP/CHF', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'GBP/NZD', 'period': '15', 'summary': 'NEUTRAL'}
{'name': 'GBP/CHF', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'GBP/AUD', 'period': '300', 'summary': 'NEUTRAL'}
{'name': 'GBP/CHF', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'GBP/AUD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'GBP/CHF', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'GBP/AUD', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'GBP/AUD', 'period': '1440', 'summary': 'NEUTRAL'}
{'name': 'GBP/CHF', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '604800', 'summary': 'SELL'}
{'name': 'GBP/AUD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'XAG/USD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'GBP/AUD', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '60', 'summary': 'NEUTRAL'}
{'name': 'GBP/AUD', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'CAD/CHF', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'XAG/USD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'XAG/USD', 'period': '30', 'summary': 'NEUTRAL'}
{'name': 'CAD/CHF', 'period': '30', 'summary': 'NEUTRAL'}
{'name': 'CAD/CHF', 'period': '300', 'summary': 'SELL'}
{'name': 'NZD/JPY', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'GBP/AUD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'CAD/CHF', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'CAD/CHF', 'period': '1', 'summary': 'BUY'}
{'name': 'CAD/CHF', 'period': '60', 'summary': 'NEUTRAL'}
{'name': 'CAD/CHF', 'period': '15', 'summary': 'BUY'}
{'name': 'NZD/JPY', 'period': '30', 'summary': 'SELL'}
{'name': 'NZD/JPY', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'NZD/JPY', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'NZD/JPY', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'NZD/JPY', 'period': '1440', 'summary': 'NEUTRAL'}
{'name': 'NZD/CAD', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'NZD/JPY', 'period': '15', 'summary': 'SELL'}
{'name': 'NZD/CAD', 'period': '1440', 'summary': 'NEUTRAL'}
{'name': 'NZD/CAD', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'NZD/CAD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'NZD/CAD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'NZD/CAD', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'NZD/CAD', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'NZD/JPY', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'EUR/NZD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'EUR/NZD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'AUD/NZD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'NZD/CAD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'AUD/NZD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'EUR/NZD', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'AUD/NZD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'EUR/NZD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'EUR/NZD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'AUD/NZD', 'period': '300', 'summary': 'SELL'}
{'name': 'AUD/NZD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'AUD/NZD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'AUD/NZD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'AUD/CAD', 'period': '604800', 'summary': 'NEUTRAL'}
{'name': 'AUD/CAD', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'AUD/CAD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'AUD/CAD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'AUD/CAD', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'AUD/CAD', 'period': '5', 'summary': 'NEUTRAL'}
